Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Northwestern State,22,10,12,.455,-5.81,-0.36,,7,5,,7,3,,3,9,,1482,1540,,890,530,1252,.423,138,423,.326,284,403,.705,265,796,284,150,106,285,336
Notre Dame,22,10,12,.455,8.39,5.12,,4,7,,8,2,,2,7,,1610,1538,,885,581,1261,.461,182,481,.378,266,364,.731,225,778,270,121,35,236,340
Oakland,24,10,14,.417,-2.48,1.47,,7,6,,6,3,,3,9,,1598,1666,,970,583,1392,.419,176,606,.290,256,370,.692,309,835,275,161,76,277,367
Ohio,22,12,10,.545,-0.96,-4.15,,6,4,,9,1,,2,7,,1772,1654,,885,623,1318,.473,193,535,.361,333,437,.762,188,753,323,165,79,255,383
Ohio State,22,13,9,.591,20.31,11.77,,5,6,,8,4,,3,4,,1759,1571,,900,619,1301,.476,181,478,.379,340,459,.741,208,778,296,141,83,245,442
Oklahoma,22,16,6,.727,15.63,7.63,,3,6,,10,2,,1,4,,1754,1578,,880,593,1228,.483,197,524,.376,371,464,.800,189,712,320,185,60,272,395
Oklahoma State,22,11,11,.500,6.01,8.33,,3,8,,8,2,,2,6,,1591,1642,,880,530,1235,.429,145,438,.331,386,537,.719,254,770,274,187,59,297,430
Old Dominion,24,11,13,.458,-9.21,-3.12,,7,5,,7,7,,4,3,,1631,1711,,970,583,1454,.401,142,502,.283,323,464,.696,344,942,266,121,77,280,399
Omaha,24,14,10,.583,-4.02,-3.11,,8,1,,7,2,,6,7,,1814,1788,,960,626,1378,.454,194,540,.359,368,515,.715,240,851,297,143,56,281,450
Oral Roberts,22,6,16,.273,-11.41,0.37,,2,7,,6,5,,0,11,,1648,1732,,880,556,1239,.449,210,565,.372,326,438,.744,194,682,241,114,45,269,378
Oregon,23,16,7,.696,16.46,11.42,,5,7,,8,4,,4,3,,1757,1641,,925,614,1339,.459,172,520,.331,357,472,.756,232,820,339,164,79,267,386
Oregon State,23,16,7,.696,11.66,2.16,,6,4,,13,1,,1,5,,1783,1538,,935,624,1267,.493,174,464,.375,361,460,.785,211,778,349,170,80,261,361
Pacific,25,7,18,.280,-7.80,1.99,,2,9,,4,7,,1,11,,1741,1886,,1010,626,1454,.431,166,555,.299,323,451,.716,272,884,337,143,70,320,465
Penn State,23,13,10,.565,14.41,5.49,,3,9,,10,4,,1,5,,1872,1667,,920,657,1366,.481,165,480,.344,393,526,.747,234,791,379,199,91,273,384
Pennsylvania,19,6,13,.316,-10.92,-2.35,,2,4,,4,6,,2,6,,1285,1448,,760,448,1092,.410,167,505,.331,222,330,.673,189,635,258,91,34,215,298
Pepperdine,23,9,14,.391,-2.80,1.20,,3,7,,6,6,,2,7,,1661,1687,,920,599,1348,.444,150,456,.329,313,437,.716,226,823,361,143,67,267,365
Pittsburgh,22,14,8,.636,16.09,8.54,,5,6,,10,3,,3,4,,1728,1562,,890,597,1279,.467,185,521,.355,349,440,.793,203,738,299,161,99,216,357
Portland,24,8,16,.333,-9.43,2.39,,3,8,,6,6,,2,7,,1724,1940,,980,587,1368,.429,197,585,.337,353,456,.774,208,825,362,119,78,333,376
Portland State,22,13,9,.591,-4.69,-4.54,,5,4,,8,1,,4,7,,1726,1563,,880,653,1344,.486,146,428,.341,274,429,.639,272,817,348,186,113,286,379
Prairie View,22,4,18,.182,-16.41,-3.55,,3,6,,2,3,,2,15,,1638,1887,,880,581,1308,.444,141,433,.326,335,473,.708,199,627,266,192,64,270,457


Presbyterian,25,10,15,.400,-8.17,-4.35,,3,7,,7,4,,1,11,,1874,1780,,1010,680,1450,.469,188,515,.365,326,467,.698,268,864,336,172,83,280,441
Princeton,21,15,6,.714,0.26,-2.06,,4,2,,7,3,,5,1,,1603,1502,,840,572,1286,.445,225,600,.375,234,338,.692,217,731,323,170,42,219,334
Providence,23,11,12,.478,8.67,6.93,,5,7,,9,3,,2,5,,1644,1604,,925,573,1307,.438,210,595,.353,288,410,.702,266,887,281,112,87,291,411
Purdue,23,18,5,.783,22.70,12.96,,10,2,,11,1,,5,2,,1799,1575,,920,633,1277,.496,184,481,.383,349,481,.726,213,748,382,165,44,248,340
Purdue Fort Wayne,25,17,8,.680,1.20,-3.71,,10,4,,10,1,,6,6,,2076,1860,,1015,735,1537,.478,267,699,.382,339,446,.760,193,757,360,223,74,225,380
Queens (NC),24,15,9,.625,-3.96,-3.69,,8,3,,8,3,,6,6,,1820,1737,,960,638,1456,.438,228,692,.329,316,475,.665,292,930,390,167,127,316,407
Quinnipiac,22,13,9,.591,-4.75,-5.80,,9,2,,8,1,,5,8,,1587,1541,,885,562,1370,.410,152,536,.284,311,419,.742,274,865,278,191,104,275,373
Radford,25,15,10,.600,-3.44,-2.65,,5,5,,8,2,,5,8,,1860,1773,,1005,626,1398,.448,192,520,.369,416,550,.756,303,910,296,152,84,288,427
Rhode Island,22,15,7,.682,3.28,-1.29,,4,6,,11,2,,1,5,,1736,1608,,895,585,1276,.458,164,474,.346,402,567,.709,233,859,311,129,77,288,366
Rice,23,12,11,.522,-0.83,-2.65,,3,7,,6,5,,4,4,,1627,1588,,930,535,1277,.419,170,515,.330,387,562,.689,290,901,276,116,76,296,420
Richmond,23,8,15,.348,-5.49,1.51,,3,7,,5,6,,1,8,,1553,1657,,935,512,1238,.414,180,588,.306,349,444,.786,149,725,267,145,52,245,413
Rider,22,8,14,.364,-12.43,-5.80,,4,7,,2,6,,6,8,,1433,1579,,880,523,1253,.417,113,382,.296,274,385,.712,255,759,265,122,62,261,306
Robert Morris,25,17,8,.680,-1.74,-5.82,,9,5,,12,2,,5,6,,1889,1763,,1020,644,1475,.437,182,534,.341,419,576,.727,317,943,373,168,116,339,433
Rutgers,23,12,11,.522,11.61,9.95,,5,7,,9,4,,2,4,,1753,1715,,925,614,1388,.442,169,507,.333,356,507,.702,264,838,303,159,86,244,390
Sacramento State,22,6,16,.273,-13.86,-3.18,,2,7,,5,7,,1,9,,1455,1505,,880,502,1193,.421,183,567,.323,268,396,.677,218,761,282,132,71,290,417
Sacred Heart,21,9,12,.429,-9.85,-7.80,,5,5,,5,3,,3,8,,1589,1590,,840,568,1276,.445,204,550,.371,249,345,.722,236,766,330,154,56,262,334
Saint Francis (PA),23,8,15,.348,-13.61,-4.06,,3,6,,6,4,,2,11,,1618,1661,,930,605,1329,.455,191,565,.338,217,295,.736,196,782,335,140,57,301,350
Saint Joseph's,22,13,9,.591,7.59,1.09,,4,5,,8,4,,2,4,,1655,1512,,885,574,1298,.442,196,589,.333,311,414,.751,227,824,335,143,124,259,317
Saint Louis,23,14,9,.609,3.65,1.75,,7,3,,11,2,,3,5,,1703,1591,,920,602,1263,.477,213,625,.341,286,423,.676,180,821,348,151,76,300,351
Saint Mary's (CA),23,20,3,.870,17.91,4.28,,10,0,,12,1,,6,0,,1739,1399,,930,636,1392,.457,161,472,.341,306,443,.691,340,933,383,151,92,231,349


Saint Peter's,18,7,11,.389,-10.00,-7.00,,2,8,,2,5,,5,6,,1169,1155,,720,403,1003,.402,138,398,.347,225,314,.717,244,660,201,128,57,257,357
Sam Houston,22,8,14,.364,-3.47,2.06,,1,8,,5,3,,2,10,,1680,1686,,890,585,1326,.441,194,504,.385,316,443,.713,260,796,299,149,58,276,399
Samford,24,19,5,.792,3.90,-4.10,,9,2,,12,1,,7,4,,2026,1752,,970,727,1533,.474,271,712,.381,301,417,.722,304,874,425,234,99,317,453
San Diego,24,4,20,.167,-7.63,2.28,,1,10,,4,11,,0,8,,1637,1860,,960,587,1457,.403,147,526,.279,316,424,.745,275,843,263,177,90,332,511
San Diego State,20,15,5,.750,14.28,7.81,,8,3,,8,3,,4,1,,1432,1258,,810,516,1184,.436,156,460,.339,242,353,.686,220,741,257,153,111,220,367
San Francisco,24,18,6,.750,10.51,1.82,,8,3,,14,0,,2,4,,1825,1609,,965,632,1370,.461,218,630,.346,343,492,.697,249,848,344,171,92,295,443
San Jose State,24,12,12,.500,1.85,2.53,,5,7,,6,5,,2,6,,1803,1744,,975,638,1397,.457,197,545,.361,330,437,.755,233,835,324,130,74,255,374
Santa Clara,24,15,9,.625,12.18,5.76,,7,4,,9,3,,3,4,,1913,1759,,975,681,1468,.464,241,679,.355,310,425,.729,278,902,391,159,73,293,398
Seattle,21,8,13,.381,-0.15,1.01,,3,4,,6,4,,2,8,,1530,1457,,840,509,1192,.427,153,453,.338,359,490,.733,230,740,257,156,60,249,372
Seton Hall,23,6,17,.261,-0.66,6.12,,1,11,,4,8,,0,7,,1452,1608,,930,512,1277,.401,128,398,.322,300,448,.670,274,749,257,187,73,290,415
Siena,22,10,12,.455,-6.91,-5.68,,5,6,,6,3,,3,7,,1560,1587,,900,527,1239,.425,173,514,.337,333,455,.732,212,702,262,152,112,279,369
South Alabama,24,16,8,.667,1.74,-4.58,,8,4,,10,4,,6,4,,1730,1492,,975,610,1381,.442,228,681,.335,282,411,.686,236,853,368,228,64,224,317
South Carolina,22,10,12,.455,9.59,8.32,,0,9,,8,6,,1,5,,1550,1522,,890,521,1200,.434,156,473,.330,352,506,.696,237,784,298,129,69,288,357
South Carolina State,22,10,12,.455,-6.09,-6.19,,4,3,,4,2,,5,10,,1680,1550,,885,585,1280,.457,141,424,.333,369,550,.671,264,765,302,207,68,303,476
South Carolina Upstate,25,5,20,.200,-15.62,-1.94,,1,9,,4,6,,1,13,,1852,2057,,1000,684,1494,.458,163,548,.297,321,472,.680,229,859,331,174,52,362,488
South Dakota,23,13,10,.565,-6.40,-3.40,,4,4,,11,1,,2,9,,1981,1926,,920,675,1453,.465,178,547,.325,453,647,.700,284,827,284,167,82,233,419
South Dakota State,24,15,9,.625,4.58,-0.71,,6,3,,10,0,,2,7,,1906,1716,,960,694,1458,.476,216,618,.350,302,401,.753,275,963,345,125,67,293,388
South Florida,22,11,11,.500,-2.55,-1.97,,4,5,,8,2,,1,7,,1663,1618,,880,588,1298,.453,170,509,.334,317,431,.735,224,749,320,181,69,247,370
Southeast Missouri State,23,13,10,.565,-6.66,-6.36,,8,4,,9,3,,4,6,,1715,1580,,930,629,1391,.452,166,510,.325,291,404,.720,204,764,318,187,80,246,427
Southeastern Louisiana,23,14,9,.609,-4.06,-4.68,,8,4,,6,2,,7,6,,1669,1584,,920,595,1323,.450,145,429,.338,334,444,.752,239,826,283,165,50,293,415


Southern,22,14,8,.636,-5.65,-4.54,,9,0,,8,0,,6,8,,1681,1525,,886,606,1369,.443,151,476,.317,318,475,.669,284,815,303,227,89,277,416
Southern California,22,13,9,.591,13.04,9.04,,5,6,,10,5,,3,2,,1685,1597,,880,596,1240,.481,148,419,.353,345,469,.736,184,702,344,133,60,252,391
Southern Illinois,24,11,13,.458,-1.80,1.11,,6,7,,5,5,,5,5,,1751,1766,,970,634,1391,.456,156,463,.337,327,476,.687,258,851,344,163,72,310,412
SIU Edwardsville,24,16,8,.667,-6.75,-8.42,,9,4,,10,1,,5,7,,1737,1567,,970,629,1472,.427,186,549,.339,293,442,.663,295,934,332,167,90,265,402
Southern Indiana,22,9,13,.409,-11.95,-7.65,,4,8,,7,4,,2,9,,1606,1599,,890,575,1320,.436,158,445,.355,298,414,.720,237,804,255,155,64,254,381
Southern Methodist,23,18,5,.783,15.69,4.39,,9,3,,10,3,,5,2,,1904,1644,,920,672,1399,.480,190,489,.389,370,503,.736,298,914,376,178,91,264,383
Southern Mississippi,24,10,14,.417,-7.55,-2.01,,5,7,,9,2,,1,10,,1727,1800,,970,621,1441,.431,159,517,.308,326,471,.692,270,929,345,167,115,343,399
Southern Utah,22,9,13,.409,-8.21,-0.47,,1,7,,7,4,,1,9,,1585,1616,,880,559,1268,.441,137,429,.319,330,448,.737,227,804,278,119,98,312,374
St. Bonaventure,24,17,7,.708,5.07,-0.37,,5,6,,10,2,,5,4,,1695,1548,,965,614,1343,.457,155,472,.328,312,430,.726,236,828,266,174,84,253,311
St. John's (NY),23,20,3,.870,20.65,6.87,,11,1,,15,0,,4,1,,1815,1498,,935,680,1505,.452,135,456,.296,320,466,.687,333,955,356,216,133,265,376
St. Thomas,24,18,6,.750,2.75,-3.82,,8,1,,11,0,,6,5,,2030,1780,,965,707,1419,.498,258,651,.396,358,459,.780,180,771,385,172,76,236,427
Stanford,23,15,8,.652,9.39,4.43,,7,5,,12,2,,3,4,,1743,1629,,920,603,1367,.441,191,572,.334,346,442,.783,262,806,329,165,77,247,400
Stephen F. Austin,23,10,13,.435,-7.85,-3.50,,3,9,,6,6,,4,7,,1505,1513,,935,552,1302,.424,130,473,.275,271,443,.612,314,876,283,202,94,383,406
Stetson,23,7,16,.304,-15.59,-3.25,,5,5,,4,5,,3,8,,1683,1897,,930,583,1310,.445,178,511,.348,339,466,.727,204,777,278,126,71,316,338
Stonehill,24,12,12,.500,-11.19,-8.15,,4,5,,8,3,,3,8,,1667,1671,,960,578,1320,.438,216,598,.361,295,413,.714,200,786,356,163,65,291,407
Stony Brook,23,5,18,.217,-13.94,-3.03,,1,9,,3,7,,2,10,,1533,1725,,920,532,1297,.410,163,507,.321,306,407,.752,248,761,254,128,47,277,361
Syracuse,23,10,13,.435,4.32,8.27,,4,8,,8,5,,2,5,,1687,1778,,930,618,1371,.451,146,462,.316,305,440,.693,249,864,302,106,61,289,367
Tarleton State,23,10,13,.435,-9.57,0.59,,5,3,,8,1,,1,10,,1499,1614,,920,516,1160,.445,99,294,.337,368,496,.742,218,695,249,233,76,423,440
TCU,22,12,10,.545,12.07,10.75,,5,6,,11,2,,1,5,,1506,1477,,885,544,1289,.422,143,459,.312,275,426,.646,253,754,279,163,72,244,336
Temple,22,14,8,.636,2.23,0.14,,6,3,,10,0,,2,5,,1765,1692,,895,590,1294,.456,156,424,.368,429,586,.732,248,821,241,148,84,254,389


Tennessee,23,19,4,.826,25.56,10.16,,6,4,,13,1,,3,3,,1724,1370,,920,599,1342,.446,198,582,.340,328,437,.751,295,887,365,173,123,246,339
Tennessee State,23,10,13,.435,-9.22,-7.02,,6,6,,8,3,,2,8,,1832,1738,,950,659,1426,.462,153,487,.314,361,540,.669,314,956,319,168,82,368,453
