Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Samford,21,17,4,.810,3.67,-3.27,,7,1,,11,1,,6,3,,1773,1543,,850,632,1330,.475,228,607,.376,281,389,.722,263,758,368,204,87,275,396
San Diego,22,4,18,.182,-7.12,2.60,,1,8,,4,9,,0,8,,1485,1684,,880,540,1327,.407,135,477,.283,270,371,.728,254,766,241,162,82,309,458
San Diego State,19,14,5,.737,15.14,8.42,,7,3,,7,3,,4,1,,1369,1197,,770,498,1135,.439,151,438,.345,220,325,.677,210,705,248,149,103,208,349
San Francisco,23,17,6,.739,9.59,1.59,,7,3,,13,0,,2,4,,1750,1558,,925,609,1312,.464,209,597,.350,323,466,.693,235,807,331,160,90,283,424
San Jose State,22,10,12,.455,1.88,3.33,,3,7,,5,5,,1,6,,1634,1589,,885,578,1272,.454,173,489,.354,305,402,.759,216,762,290,117,59,228,336
Santa Clara,22,14,8,.636,12.28,6.23,,6,3,,8,2,,3,4,,1776,1643,,895,632,1361,.464,223,632,.353,289,400,.723,262,841,360,145,68,270,373
Seattle,20,8,12,.400,-0.01,0.71,,3,3,,6,4,,2,7,,1456,1374,,800,483,1127,.429,147,432,.340,343,471,.728,218,704,243,148,58,237,345
Seton Hall,21,6,15,.286,0.34,5.53,,1,9,,4,7,,0,6,,1341,1450,,850,469,1153,.407,122,364,.335,281,419,.671,248,695,235,166,66,269,386
Siena,20,9,11,.450,-7.28,-5.73,,4,5,,5,3,,3,6,,1409,1440,,820,477,1120,.426,161,468,.344,294,406,.724,196,638,238,133,99,259,333
South Alabama,21,14,7,.667,2.11,-3.89,,6,3,,10,3,,4,4,,1526,1313,,850,532,1210,.440,204,604,.338,258,370,.697,205,738,331,204,58,198,275
South Carolina,21,10,11,.476,9.25,7.73,,0,8,,8,5,,1,5,,1478,1446,,850,496,1144,.434,144,442,.326,342,494,.692,229,755,279,122,65,276,337
South Carolina State,20,9,11,.450,-7.26,-6.20,,3,2,,4,2,,4,9,,1526,1417,,800,531,1155,.460,127,382,.332,337,495,.681,229,683,281,181,68,267,429
South Carolina Upstate,22,5,17,.227,-15.75,-1.38,,1,6,,4,5,,1,11,,1644,1821,,880,604,1316,.459,141,475,.297,295,427,.691,203,773,291,148,46,324,426
South Dakota,22,12,10,.545,-6.84,-3.47,,3,4,,10,1,,2,9,,1890,1839,,880,643,1389,.463,170,524,.324,434,616,.705,273,794,273,159,78,225,402
South Dakota State,22,14,8,.636,4.93,-0.65,,5,2,,10,0,,1,6,,1759,1574,,880,637,1333,.478,197,562,.351,288,381,.756,249,889,321,113,60,272,362
South Florida,21,11,10,.524,-1.80,-2.30,,4,4,,8,2,,1,6,,1591,1524,,840,568,1236,.460,163,486,.335,292,400,.730,209,715,311,173,66,238,351
Southeast Missouri State,21,11,10,.524,-6.56,-5.51,,6,4,,7,3,,4,6,,1536,1414,,845,566,1282,.441,153,475,.322,251,352,.713,192,715,289,171,71,224,386
Southeastern Louisiana,21,12,9,.571,-4.11,-4.27,,6,4,,4,2,,7,6,,1512,1437,,840,543,1201,.452,130,392,.332,296,398,.744,214,739,261,156,49,271,379


Southern,20,12,8,.600,-5.78,-4.13,,7,0,,6,0,,6,8,,1516,1367,,801,555,1257,.442,135,428,.315,271,414,.655,269,753,270,209,78,254,376
Southern California,20,12,8,.600,12.23,8.03,,4,5,,9,5,,3,1,,1540,1456,,800,546,1132,.482,132,379,.348,316,429,.737,167,642,320,129,54,232,351
Southern Illinois,22,10,12,.455,-1.91,1.24,,5,6,,5,4,,4,5,,1618,1632,,890,590,1290,.457,137,422,.325,301,442,.681,238,784,322,152,68,283,374
SIU Edwardsville,21,14,7,.667,-7.00,-7.44,,7,3,,9,1,,4,6,,1539,1396,,850,556,1285,.433,165,484,.341,262,395,.663,250,803,287,150,82,234,351
Southern Indiana,21,9,12,.429,-11.70,-7.86,,4,7,,7,3,,2,9,,1541,1521,,850,550,1253,.439,150,424,.354,291,402,.724,226,767,247,148,61,246,362
Southern Methodist,20,15,5,.750,14.91,3.96,,6,3,,8,3,,4,2,,1662,1443,,800,585,1220,.480,162,423,.383,330,448,.737,264,801,325,152,79,232,334
Southern Mississippi,21,9,12,.429,-7.78,-1.94,,4,5,,8,1,,1,9,,1529,1591,,850,549,1265,.434,148,470,.315,283,413,.685,244,816,308,142,100,309,354
Southern Utah,20,9,11,.450,-7.24,0.29,,1,5,,7,4,,1,7,,1459,1471,,800,514,1169,.440,129,409,.315,302,414,.729,212,743,257,110,92,280,336
St. Bonaventure,22,16,6,.727,6.49,-0.51,,4,5,,9,2,,5,3,,1568,1399,,885,565,1239,.456,146,438,.333,292,399,.732,221,775,249,161,81,229,287
St. John's (NY),21,18,3,.857,20.42,5.70,,9,1,,13,0,,4,1,,1677,1368,,855,629,1377,.457,125,419,.298,294,421,.698,301,873,324,203,128,242,344
St. Thomas,22,16,6,.727,1.89,-3.69,,6,1,,9,0,,6,5,,1865,1647,,885,642,1298,.495,239,604,.396,342,441,.776,164,710,343,154,71,226,404
Stanford,20,14,6,.700,10.60,3.85,,6,3,,11,1,,3,3,,1539,1404,,800,532,1188,.448,172,498,.345,303,392,.773,224,703,295,140,70,207,351
Stephen F. Austin,21,9,12,.429,-7.49,-2.77,,2,8,,6,5,,3,7,,1355,1361,,850,495,1169,.423,115,416,.276,250,414,.604,285,805,255,183,91,357,369
Stetson,21,7,14,.333,-15.32,-3.11,,5,3,,4,5,,3,6,,1527,1714,,845,526,1177,.447,162,465,.348,313,427,.733,180,704,255,115,66,293,319
Stonehill,22,11,11,.500,-11.76,-8.21,,3,4,,7,2,,3,8,,1531,1539,,880,532,1221,.436,197,548,.359,270,386,.699,192,731,328,149,60,264,380
Stony Brook,21,5,16,.238,-14.58,-3.43,,1,7,,3,7,,2,8,,1389,1564,,840,482,1175,.410,142,454,.313,283,372,.761,225,696,228,119,41,259,327
Syracuse,20,9,11,.450,4.25,7.35,,3,6,,8,4,,1,4,,1497,1559,,810,547,1208,.453,126,404,.312,277,402,.689,218,760,271,94,52,248,315
Tarleton State,21,8,13,.381,-10.97,1.64,,3,3,,6,1,,1,10,,1363,1502,,840,469,1063,.441,94,272,.346,331,448,.739,200,631,226,207,71,390,396
TCU,19,10,9,.526,11.35,9.93,,3,5,,9,2,,1,4,,1316,1289,,765,479,1128,.425,127,405,.314,231,364,.635,220,665,243,145,62,213,292
Temple,20,12,8,.600,2.71,0.65,,4,3,,8,0,,2,5,,1577,1509,,800,529,1176,.450,139,387,.359,380,527,.721,237,757,220,137,76,229,342


Tennessee,21,17,4,.810,24.77,9.06,,4,4,,11,1,,3,3,,1575,1245,,840,548,1228,.446,182,545,.334,297,392,.758,272,809,329,163,108,228,306
Tennessee State,21,9,12,.429,-9.72,-7.28,,5,5,,8,3,,1,7,,1673,1579,,865,599,1306,.459,140,449,.312,335,506,.662,295,889,289,156,76,334,417
Tennessee Tech,21,10,11,.476,-10.01,-5.85,,5,5,,6,2,,3,8,,1539,1583,,845,543,1246,.436,205,582,.352,248,355,.699,187,732,331,128,63,244,288
Tennessee-Martin,21,9,12,.429,-10.10,-6.44,,5,5,,6,2,,3,9,,1625,1519,,865,555,1315,.422,206,647,.318,309,436,.709,294,861,294,178,67,275,369
Texas,20,14,6,.700,17.42,4.82,,3,4,,10,3,,2,2,,1578,1326,,800,552,1145,.482,155,414,.374,319,425,.751,188,703,267,136,92,191,331
Texas A&M,21,16,5,.762,20.73,11.30,,5,3,,10,1,,2,3,,1582,1384,,840,540,1274,.424,146,476,.307,356,520,.685,351,883,257,167,90,256,364
Texas A&M-Corpus Christi,22,14,8,.636,0.63,-1.32,,7,3,,11,2,,3,6,,1754,1506,,880,661,1325,.499,130,372,.349,302,484,.624,261,831,344,182,84,265,401
Texas Southern,20,9,11,.450,-10.74,-2.45,,6,1,,6,2,,3,9,,1467,1531,,810,526,1231,.427,138,409,.337,277,373,.743,210,731,279,175,73,268,349
Texas State,21,12,9,.571,-1.27,-2.58,,5,4,,7,1,,3,7,,1628,1515,,850,569,1211,.470,121,318,.381,369,476,.775,242,783,294,145,87,258,380
Texas Tech,19,15,4,.789,22.13,5.24,,6,2,,10,2,,4,0,,1557,1236,,765,564,1148,.491,176,458,.384,253,329,.769,226,707,324,138,52,204,294
Texas-Rio Grande Valley,21,12,9,.571,-4.93,-2.63,,4,6,,8,3,,2,6,,1639,1522,,840,599,1338,.448,222,696,.319,219,316,.693,265,810,364,152,53,275,360
The Citadel,19,5,14,.263,-16.54,-3.94,,0,8,,5,7,,0,7,,1321,1403,,770,470,1076,.437,157,507,.310,224,373,.601,205,678,254,111,43,250,320
Toledo,20,12,8,.600,-3.41,-0.67,,6,2,,4,2,,6,5,,1565,1555,,800,569,1219,.467,123,361,.341,304,418,.727,208,692,274,107,59,198,314
Towson,21,12,9,.571,-2.52,-1.57,,7,1,,7,1,,5,4,,1428,1392,,855,516,1259,.410,150,467,.321,246,370,.665,274,776,218,137,69,207,351
Troy,20,13,7,.650,3.56,-0.22,,6,3,,8,3,,5,4,,1458,1311,,800,503,1137,.442,152,505,.301,300,419,.716,282,772,295,192,89,302,327
Tulane,20,11,9,.550,2.11,-2.51,,5,2,,9,2,,2,4,,1531,1371,,805,522,1164,.448,166,476,.349,321,416,.772,193,719,314,158,94,223,361
